# id	left	top	right	bottom	texture_id
[SPRITES]
#BEIGE_BLOCK
110001	0	33	7	40	30
110002	9	33	16	40	30
110003	18	33	25	40	30
110004	0	42	7	49	30
110005	9	42	16	49	30
110006	18	42	25	49	30
110007	0	51	7	58	30
110008	9	51	16	58	30
110009	18	51	25	58	30
#BLUE_BLOCK
111001	0	60	7	67	30
111002	9	60	16	67	30
111003	18	60	25	67	30
111004	0	69	7	76	30
111005	9	69	16	76	30
111006	18	69	25	76	30
111007	0	78	7	85	30
111008	9	78	16	85	30
111009	18	78	25	85	30
#GREEN_BLOCK
112001	0	87	7	94	30
112002	9	87	16	94	30
112003	18	87	25	94	30
112004	0	96	7	103	30
112005	9	96	16	103	30
112006	18	96	25	103	30
112007	0	105	7	112	30
112008	9	105	16	112	30
112009	18	105	25	112	30
#WHITE_BLOCK
113001	0	114	7	121	30
113002	9	114	16	121	30
113003	18	114	25	121	30
113004	0	123	7	130	30
113005	9	123	16	130	30
113006	18	123	25	130	30
113007	0	132	7	139	30
113008	9	132	16	139	30
113009	18	132	25	139	30
#SHADOW_CORNER
114001	27	33	34	40	30
#SHADOW_EDGE
115001	36	43	43	50	30
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
